spotify_id,artist_name,track_name,class
4DQVTfZfLYIf88tZJsVsXx,Hockey Dad,I Missed Out,1.0
0ElRzK07sc9eszyk1ea9Ab,The Cramps,Human Fly,6.0
31YjnyR8BJphQKK33Rm1wD,Thee Headcoats,Davy Crockett,2.0
4jYd4edE6RjDUm27rHFERQ,KennyHoopla,hollywood sucks//,9.0
5jE48hhRu8E6zBDPRSkEq7,Meghan Trainor,All About That Bass,9.0
0VIMMw4UzOEMSKGLHa5rfR,Bass Drum of Death,Just Business,1.0
7BF627yIxHuxETi7HaEdnT,Scorpions,Big City Nights - 2015 - Remaster,8.0
,Losing You,Flyte,0.0
,VANITASÂëΩÊ≠ª,"Navigator, New Friend Request!",6.0
,"Kishore Kumar, Asha Bhosle",Kehdoon Tumhen - Deewaar / Soundtrack Version,3.0
73Hh7xuXyKdBChmavyFz0b,Fresh,Nighttime,1.0
,Joe Bonamassa,Love Ain't a Love Song,10.0
,HELLYEAH,You Wouldn't Know,8.0
6oToGY0yfiDHiL13kOvZyr,Mishegas,Tonight,6.0
0nEiGzZ4KvcrAkibCNeFKF,Bodysnatcher,Take Me To Hell,8.0
1mQaehT2IA8PAb6drI1RNB,Fire From The Gods,Right Now,10.0
6XdoXYgBkv1FYwFCAz44kI,Corey Harper,On the Run,0.0
1rRXU8XXqTyaTpdp6hJu8z,Thornetta Davis,I Believe (Everything Gonna Be Alright),2.0
1PpbrbgsXRXeKw1GnZMEv7,Don Williams,I Believe In You,4.0
0ElIvLpQpbqZTZs98O4Q1V,The Rolling Stones,Scarlet,10.0
,Aviv Geffen,◊†◊ï◊°◊ò◊ú◊í◊ô◊î,10.0
3xLwt9Ggbko1G8rOnY5CWV,Ron Gallo,A PLATE IN MY HONOR,9.0
4SAbUosqGHdqqHCsFTVLt8,One String Sam,My Baby Ooo,2.0
0eVz3hV2xOXdneGpnWDFpb,Slowdive,Sugar for the Pill,10.0
3LlRMauta57oKZOxkXaYqu,Hozier,Shrike,9.0
2J1ept19NhWTBBaYB2lNZm,Promise,Where Do I Go,8.0
0osvOdeD3YXZiWkT8MKolJ,Jason Derulo,Lifestyle (feat. Adam Levine),9.0
5jC0WEuk3NQlWoh91CDwOS,INXS,What You Need,10.0
01SLU6jHM9uzY6upyP4DnB,Muskets,17 Years,10.0
7hcYAIyiOVdmRhpGtSJRTP,R3HAB,Close To You (with Andy Grammer),9.0
1eeEAT7hXkGccQadyAMRop,Udit Narayan,Aaye Ho Meri Zindagi Mein - Male Version,3.0
08fCQUvbymnhlPd47csmRa,S. P. Balasubrahmanyam,Dil Deewana - Male Vocals,3.0
01pR1krOFbSYfTbSaxYHq0,Alien Ant Farm,Everything She Wants,10.0
04caEZhAsQKnWqKsMwk9ud,Foals,My Number,10.0
,Advaita,Mo Funk (Indo-Western Fusion),0.0
5cvinnQN9svZsG3xMIxfJS,Asylums,The Distance Between Left And Right,10.0
7aCO33Cnj6wLZx31KLfSs3,Hara Noda,Catcher,7.0
,"Suresh Wadkar, Nitin Mukesh",Tu Mujhe Suna,3.0
5c67f9LEEEyyTdvxNSbmSJ,Tay Money,PBJ,5.0
6gCdeGEhXZbAracd6B977r,Parquet Courts,Human Performance,1.0
40RpxZKx3o3LwtDw1TeEEn,3Breezy,Message To Her,5.0
5LbZrfWzafeYlwzbHtpAqD,Shygirl,BB,6.0
6smAAP2VbkF0DjtS5LGKJP,Albert Cummings,Red Rooster,2.0
3oxADKwqZ04fNO9diMkBPA,ten56.,Diazepam,8.0
,Tuna,◊ê◊ô◊ü ◊ë◊ô◊†◊ô◊†◊ï ◊ó◊ú◊ú,5.0
7o2CTH4ctstm8TNelqjb51,Guns N' Roses,Sweet Child O' Mine,10.0
,Molchat Doma,–ù–µ–±–µ—Å–∞ –∏ –ê–¥ (Heaven and Hell),6.0
4KfSdst7rW39C0sfhArdrz,Heart,Barracuda,10.0
2xdg9F0iwnupD9LMowLl8I,"Astronauts, etc.",Cherry Plum,1.0
41vqauGwLJbOVPaUYh95LX,Kid Rock,All Summer Long,9.0
29b2h29UnjjL8jGrDIfEsU,Through Fire,Listen To Your Heart,10.0
3lfmqF0ULXRHlWxBeaHo3t,The Offspring,Hit That,10.0
2yiISACbYnL2hApy1ffKKs,Erroll Garner,Misty - Remastered 2020,7.0
45wrle3GrO10wrjZyD8hpc,You Me At Six,Night People,10.0
16ftX8s2IjqpHegioLdq2F,Lake Of Tears,Lost in a Moment,8.0
6XUHsYE38CEbYunT983O9G,Supertramp,Give A Little Bit,10.0
4Ig4lqvambqo9NPYoDklJe,Alcest,La nuit marche avec moi,6.0
7xQg5QTx8eiQnsxEnfynPh,Lord Huron,I Lied (with Allison Ponthier),6.0
44go3ZmDNtKdfCc15IseAx,System Of A Down,Shame,10.0
29TkftW6iwRjkmQFSpxErB,The Vintage Caravan,Whispers,10.0
403vzOZN0tETDpvFipkNIL,Andrew Bird,Sisyphus,1.0
6y20BV5L33R8YXM0YuI38N,Queens of the Stone Age,No One Knows,6.0
4tdgjFQSFO0KLBcOhuhUn7,Simian Mobile Disco,Hustler,1.0
2FbPOBRlg3s36jfEC2vAGj,David Miner,Silver Valley,1.0
20Nj5d5LxOcja9a8JlU6Yi,Dennis Lloyd,Alien,9.0
3mrrWFfuesBi5fswdz1Xxf,B.B. King,So Excited,2.0
2RrawHSs3Aox4OvA3Rw5FZ,Swifta Beater,Food Move,5.0
0evxHcyCVN4f88IDipmvge,Suray Sertin,Super Good Times,1.0
6Bcsu35LlV2YyUSa1X7Cpf,Run River North,Mr. Brightside,0.0
0Uy3QQreDK5rkMn36leRn2,Counting Crows,Perfect Blue Buildings,10.0
,–£–≤—É–ª–∞,–≠–ª–µ–∫—Ç—Ä–∏—á–µ—Å–∫–∏–π —Ç–æ–∫,6.0
,"Kishore Kumar, Asha Bhosle",Catcat Mane Billi,3.0
,"Natalie Di Luccio, Sawan Khan Manganiyar",Nella Fantasia (Duet Version),0.0
7Mm2Cj8cHboj6XPd3YKkU7,carolesdaughter,Trailer Trash,1.0
,Idan Amedi,◊¢◊õ◊©◊ô◊ï ◊õ◊ï◊ú◊ù ◊®◊ï◊ß◊ì◊ô◊ù,9.0
6XdxQd4EFvYOvWYqr1KXm3,Oscar Anton,ophelie,6.0
5ecfOf1rOdlFxbZ0rHAAKj,We Were Giants,Section I,10.0
1BmxWm6By6lDTZhAfJuPu3,Fame on Fire,HEADSPACE FT. POORSTACY,10.0
3J8EOeKLTLXORtWPpOU5bE,Lil Tjay,Calling My Phone,5.0
47fADKpvNG60AU6s6VVWjZ,The OBGMs,All My Friends,10.0
70LcF31zb1H0PyJoS1Sx1r,Radiohead,Creep,6.0
52K4Nl7eVNqUpUeJeWJlwT,Britney Spears,Break the Ice,9.0
6J9AMqQbxKM4IZrzE86Rxh,Fall Out Boy,Uma Thurman,10.0
2obv0TqY1j7Vb4upuhA8Q8,Tim Hardin,If I Were a Carpenter - Live at Woodstock - 8/15/69,10.0
3oG6lhEpzL1Pq4pExi0nnJ,Neon95,Flash,6.0
1S7rX5dnPYrlMCJ3DBvlJn,Pond,Waiting Around For Grace,1.0
2guw9QqCoBNGlJTPQBAAHk,Snarls,Marbles,10.0
,Eyal Golan,◊©◊ß◊®◊ô◊ù,9.0
65L7hHIrNPHfaWGwWfWDSm,Miynt,Nothing personal,6.0
0SLgPxPwGZ9g2i9sxux1Sh,IVOXYGEN,23,5.0
557GPWoXsbALezINZhftNf,Derek Pope,Water World,5.0
42rOBMui5GdhkQrcg2dm0c,Castlecomer,Runaway,10.0
2whKl8r9QCy1rZNBaLTMfN,Godford,Better Place,6.0
5huSgTVqBdIJTFhpShJfcg,Living Colour,Love Rears Its Ugly Head,10.0
3OFUWKH9khkh05HyuPpSma,The Early November,Call Off The Bells,10.0
3QBGlNOpMFuPQjpWu3eL2c,Greenleaf,Stray Bullit Woman,8.0
2WQXTG8wjeMf9lkSJTmG0L,The Haunted,Preachers of Death,8.0
7Lx46Dt2A9Dr9cSsm2okk0,Light The Torch,More Than Dreaming,8.0
7oib44NmCMvGNWnDDJjv5C,The Word Alive,NO WAY OUT,10.0
0bNdtECaLZcHA4B9QPjeUk,The Who,The Real Me,10.0
4WlBQPZaR3o75oJpKBcRmL,Darq E Freaker,Butterscotch,5.0
3ejjAD15KNXGwRG1lQMFPI,Thom Yorke,Not The News,6.0
1QbYfrExj8QqGfQky3FYfr,The Lazy Jesus,Untare,6.0
,Roll Deep,When I'm 'Ere,5.0
492qY1dRgaTJY8AwmsN2uQ,My Favourite Nemesis,Decadence,8.0
7tCpcJ53Z7uslT4sjjZsSc,Varun Sunil,Whispering Hues (feat. Rajhesh Vaidhya),6.0
5JCoSi02qi3jJeHdZXMmR8,Olivia Rodrigo,favorite crime,9.0
,Moshe Peretz,◊ê◊ù ◊ñ◊ê◊™ ◊û◊ú◊ó◊û◊î,9.0
6C4LXC9UFH1IKiHYOp0BiJ,U2,Sunday Bloody Sunday - Remastered 2008,10.0
2eJeQraCbVdmkFsLqPkBHP,Shadow and Light,Baras,0.0
6OUAwtKy1hXQK3ECwBVb4S,Martin Kohlstedt,AMSOMB (Marlow Re-Mood),6.0
1KU5EHSz04JhGg3rReGJ0N,Alannah Myles,Black Velvet,10.0
,Teddy Neguse,◊ñ◊î ◊ë◊ì◊ù ◊©◊ú◊ô,5.0
6LB5NNyUaqXjJcOCTUViOs,Distant,Dusk of Anguish,8.0
2yPIuAeJ2Y5mKPo82Lruw3,Adam Youngman,into ash,6.0
4yaBfHHZbAb2nim1fP7cRV,Superheaven,Life In a Jar,10.0
0FEqhGaxp8Gq5m2KvnunJU,Los Coast,A Change Is Gonna Come,2.0
5yh54SEOyyEeif8EGZg03m,EARTHGANG,Powered Up,5.0
52KlXDEkCkgZxuMjSqzY4L,Papa Roach,Last Resort (Reloaded),10.0
4QeqcrhcEbnKr31j2aKVRK,Westlife,That's Where You Find Love,9.0
,W.E.T.,Big Boys Don't Cry,8.0
679zqcQuKakOGI93NPCqB8,Pearl Jam,Present Tense,10.0
1e58Lv9zzEcX5t9PYFWhZO,Fangclub,Vulture Culture,1.0
3IZcq3lEk6Qz4lbhg0mPhn,Shawn Mendes,Mercy,9.0
4fZdCwvJktnlzQ1dDppn9m,Lucifer,Pull Away/So Many Times,10.0
03AwZqTncnTts2EV9NTkhk,The Grogans,Dead Weight,6.0
395uAWmB4J3lg8gPRaumLF,Protomartyr,Worm In Heaven,6.0
4absiGHMelB8eH976ytjBj,Interpol,Evil,10.0
46eHxWRKmtYhUHPDRgclt6,Seether,Careless Whisper,10.0
1ah7QJ4UsxhGedu7QhmX44,Junior Varsity,Cold Blood,6.0
,"Antonio Vivaldi, Raphael Wallfisch, City of London Sinfonia, Nicholas Kraemer","Cello Concerto in C Minor, RV 401: II. Adagio",7.0
0gHjMu0zgdBA0GcaA6B6x0,Joe Cocker,Delta Lady,2.0
7HlbQzsq8KzEeWJKiwAruN,FEWS,More Than Ever,10.0
2Kpm9tFxblFm2nquieRdnZ,Cut Worms,Every Once In A While,1.0
5O63ALIXD4lLja9jTJhg8M,El Petit De Cal Eril,Close To Me,6.0
4NnNGFTcMv5OK1LvIA2Wgw,CASTLEBEAT,80's High School,6.0
1e3Q7gE5TRUklXOlZFKIrv,R.E.M.,Find The River,10.0
1xkwvxLdHcyQ43gzES0Q9t,Spirit Mother,Space Cadets,6.0
5ZBeML7Lf3FMEVviTyvi8l,The Beatles,Twist And Shout - Remastered 2009,10.0
6rovOdp3HgK1DeAMYDzoA7,Rod Stewart,Maggie May,10.0
5oJv0m7Up2IMVBRAIate13,Tiny Little Houses,Car Crash,10.0
63u5QGp9dKXAoYTVKUKBYn,Gary Allan,Watching Airplanes,4.0
2rrNJZvWS6SNmm3CdpJkHu,Red Sun Rising,Stealing Life,10.0
7rxFdAdDflJZMXZCkGAlNp,Black Tide,Shockwave,8.0
,"Shreya Ghoshal, Soumyadeep Ghoshal",Angana Morey,0.0
7h6UX36ASyGiBGq3eUSmi8,Widowspeak,When I Tried,6.0
,"Ragi Harbans Singh Jagadhari Wale, Party",Bahan Jinah Di Pakdiye,3.0
7nPbSh5cd1N6ySOrmgNQch,Humanity's Last Breath,Earthless,8.0
4YhqUU66bIqBapat2XD1Cg,Gravity Kills,Guilty,8.0
7wy7FXfzZFAbsrpcM924nw,The Brook & The Bluff,Misnomer,1.0
5YL4xxr4qrZQMDk4QdyGtD,Snowy White,Something on Me,2.0
,Cookie Levanna,◊î◊õ◊ú ◊ê◊ï◊™◊ï ◊ì◊ë◊®,6.0
2wAryG29r8m1kOTL3SHWRP,Talibah Safiya,Animal Kingdom,1.0
,"Britney Spears, Y2K, Alexander Lewis",Toxic - Y2K & Alexander Lewis Remix,9.0
0tQmgwFKw9069z1BXniOiA,G-Eazy,Provide (feat. Chris Brown & Mark Morrison),5.0
4Ggh5e8rqlrW5kimaoSGbs,Major Murphy,Real,6.0
0hK8IwYBQwGbTgd7C5XyRZ,Taj Mahal,Diving Duck Blues,2.0
6try2MFpWKn55HnMNS7vZz,Handsome,Needles,10.0
6da04YB906XonC6IQNC44u,Eminem,Guilty Conscience,5.0
1u0l8zWpQeMYStFkc2mLD7,Michelle Branch,Everywhere,10.0
37pKTyMwalomKCZjxTc2QZ,Cocteau Twins,Cherry-coloured Funk,10.0
3DI0Ko7hmK2uh8INSXFnkb,Lincoln Durham,Creeper,2.0
62TgOlkDBX3cieVBXnSNze,The Orphan The Poet,The Moxie,9.0
4zvqMZ6g4wKZaPpOQvoBpP,Disturbed,Are You Ready,8.0
2c9OnhCwDVpKZWjOPqKiA8,Gerry Cinnamon,Sometimes,10.0
,Yehudit Ravitz,◊ë◊ï◊ê ◊ú◊®◊ô◊ï,10.0
5lHgBqh9VwAAzQma55gHRY,Pearl Jam,Elderly Woman Behind the Counter in a Small Town (Remastered),10.0
5PmtPTXrLqgqQfqngsUqZp,sammy rash,summer&cigarettes,6.0
1HVX9i2RIAIAzPeZrqqRiL,Bas,Smoke From Fire (with The Hics),5.0
2W7CvGjipq3EmHqNGN7lN9,Dokken,Breaking the Chains,8.0
51A2BXyd6S7zHnxPjV1URi,A Day To Remember,Brick Wall,10.0
2ZFu40Ik8VsUE9H87W0MmZ,Arca,KLK,6.0
37pKTyMwalomKCZjxTc2QZ,Cocteau Twins,Cherry-coloured Funk,6.0
2gvv5ad4yRlJd9UqRgHGn8,Hamilton Loomis,Give It Back,2.0
1gi1pOjpzStgJzMhAxNjg3,You Am I,Rosedale Redux,10.0
0XDTnbEdIHRUD0mPgqHjIJ,Lil Durk,Watch Yo Homie,5.0
3jpeI1goQHPIwwCMxrLrwx,Leon Bridges,Smooth Sailin',9.0
3kzsjnSBIQgWHrmdXpUQe2,Jayy Grams,Mr. Miyagi,5.0
1wSTaoEcGPZy9osC25kn0m,The Barr Brothers,It Came to Me,10.0
1dwC0I32wb53mXCECR4ZY7,Nothing,Zero Day,10.0
6YYu8qFzcY1ZyzzsJIQM12,Thelonious Monk,"Straight, No Chaser",2.0
,Amir Ve Ben,◊™◊ß◊ï◊§◊ï◊™,9.0
,The Who,I Can't Explain - Mono Version,10.0
3GGt2kbKX4VFCs3VM5JcsH,Santana,"Jingo - Live at The Woodstock Music & Art Fair, August 16, 1969",10.0
57Z2Re8xyp3xVJKI4BJMMO,Flawes,When We Were Young,10.0
7prBRHezRILw1WbJJTQi2w,Every Time I Die,It Remembers,8.0
1xJH2Kf1FjHf6tmk7r7lde,The Band CAMINO,1 Last Cigarette,1.0
,Arik Einstein,◊©◊ó◊ï◊®◊î ◊©◊ú◊ô,10.0
4m6xxuXpwz6CVGijQLeaTX,Soulflex,Chaotic Good,9.0
0i91BfNZk0FEscJfJ1y0e5,Cape Francis,Olly,6.0
68UGKNGREtwsO7fDRwftZ2,Richard Hawley,Tonight the Streets Are Ours,9.0
1i6N76fftMZhijOzFQ5ZtL,Talking Heads,Psycho Killer - 2005 Remaster,1.0
7AlzbuJ7jtFC2roWwgXvLL,Brijs,Mol y Sol,9.0
,"Gabriel Fauré, Henri Büsser, Ina-Esther Joost Ben-Sasson, Allan Sternfield","Pavane, Op. 50 (Arr. H. Busser for cello and piano)",7.0
,"Ilaiyaraaja, K. J. Yesudas",Surmayee Ankhiyon Mein - Happy Version,3.0
0p5eZCY0R7uNCZS1YDtIYI,Pixies,Hey,1.0
6j652760j2wctFstQmai4R,Incubus,Our Love,10.0
5rZlwNFl01HqLWBQGryKSm,Pop Smoke,Mood Swings (feat. Lil Tjay),5.0
5qVuoArysTYesE6th1bG0i,Muse,Citizen Erased (XX Anniversary RemiXX),10.0
75lqLt7uX9ygRkJRx2HNfS,Blaenavon,some more good news (that's all we need),6.0
0SiS1Iud2fNazdtccUxE7m,Stereophonics,Fly Like an Eagle,10.0
5IcjZRaK0lrGo1dHBgh08k,Kirk Francis,Ophelia,6.0
1j3oXJcbQdarDIMWq91yKo,Lead Belly,Gwine Dig A Hole To Put The Devil In (142-B-1),2.0
6i8r8KvmVhk3RyewK2qD6u,4 Non Blondes,Spaceman,10.0
3drX1wZsIJHz2HUguxcimH,ODC,I Love The Way You Fall,8.0
,Moshe Peretz,◊û◊î◊©◊û◊ô◊ô◊ù,9.0
5HLes17mwCwKt81mi0Tk35,Alvvays,"Archie, Marry Me",6.0
7oSQG8KgYbrcR2kgwUD9SU,AFI,The Days Of The Phoenix,10.0
7ulfuNRotATxJYnWBIjvyl,Lata Mangeshkar,Maahiya Teri Kasam - Sad Version,3.0
6txWz9UapYHVxEd7dDIHXT,Blind Melon,No Rain,6.0
50NFflOa1OI9AS1ieWyHbv,Lara Snow,Swim Far,6.0
,The M√∂nic,Just Mad,6.0
,TamaRadah,◊™◊ú◊™◊†◊ô◊ù,10.0
10kFUu0fsEalcs8WxgTNNK,Elaquent,Guidelines,5.0
1mppNVGh4ipsxIWUUA0QiH,Ash,Girl From Mars,6.0
4Z6jRLvg1OJmYY8tGySUO7,Rejoicer,Up in Flames,6.0
6nbHZxGFeara5w8Dgm5AuK,Amplifier,Rainbow Machine,10.0
,Danny Weissfeld,◊ó◊ï◊ú ◊î◊ô◊ù,9.0
1w8AuoB6mjP8MsnHRoDSkW,Simon Westman Trio,Jakob’s Happy Song,7.0
6dRAAG4sB71NAtVCHJep7s,Chevelle,Send the Pain Below,10.0
1j6zEnDOTIRJhBhknrd86m,Paris Texas,HEAVY METAL,10.0
3vDa2fcL7Ge1jQVKJ3uIOA,Chet Faker,Low,6.0
4UNxnbZatWQ2K6zA5L5PDU,Ed Dowie,Red Stone,6.0
7H0OpJS7KcHZ8L5Gzrb7db,The Catheters,Nothing,10.0
0iUano4euaiUETVUd1u0cx,We Are Scientists,"Nobody Move, Nobody Get Hurt",6.0
4VOZ1IKWpsLDgJQfzGMBEF,White Denim,It Might Get Dark,6.0
,Pot√©,Stare,6.0
277ocfhxIxwtnyKZiRTzqv,Story Untold,BMTH shxw,10.0
4gCaFMkA1CERmgy1ny9fhy,Renee Rosnes,The Winter of My Discontent,7.0
,"Ballaké Sissoko, Vincent Ségal",N'kapalema,7.0
67gNdta1qUt62Q2heUbKsK,Throwing Muses,Not Too Soon,6.0
,"Walt Weiskopf, Carl Winther, Daniel Franck, Anders Mogensen",Soul Eyes,7.0
7xbpKd3jWs0CYx9IgCnuEi,Avarus,Sadist,10.0
3YZFMK3zwAGbCMZQGWY47J,The Black Keys,Poor Boy a Long Way From Home,2.0
6Zgd7SomLTZkL1WPh4CUnV,TV On The Radio,Wolf Like Me,10.0
1vX0uuQjDnvyyTRRIeKn0E,Maneli Jamal,In Solitude,7.0
3cXAJHZCL2YDWWlZzBXlmv,Joe Louis Walker,Too Drunk To Drive Drunk,2.0
31GSORtF0bA2zplgkwAQ6A,The Legends,Fascinating,6.0
5iYYQ8CUMSPlaVOHhpB0Kw,Oakwood Station,From This Day Until Forever,7.0
,Pijn,Distress - Radio Edit,8.0
,Eden Ben Zaken,◊ê◊†◊ê ◊û◊í'◊†◊ï◊†◊î,9.0
,The Great Mystifier,Hiss Golden Messenger,0.0
5SZ6zX4rOrEQferfFC2MfP,Aerosmith,Walk This Way,10.0
5ompsQEJ93uy0YGCgANzBI,Walking On Cars,Flying High Falling Low,10.0
2n0UqC7DiRhelPWPkhviUH,Ira Wolf,Great Divide,0.0
5mCuc8RrujOdKaqQ5dH9so,Mike Zito,Big Mouth,10.0
2JoIsTLmlVGiY2y602IkZN,Orions Belte,Conversaciones,6.0
0wwbxSLnXXws3sD0AKMfUT,Silver Apples,Oscillations,6.0
1vl66qSV9BlAALu9eANF7J,Piroshka,Everlastingly Yours,10.0
3sAcsAVnlvrJK4R2PWliot,Erika de Casier,Someone to Chill With,6.0
11g527PFuaniHFmi9WNRPy,Mohammed Aziz,O Bahena - Sad Version,3.0
07TwX5DB1dq9tJ1L7z77qb,American Head Charge,Just So You Know,8.0
5cK7Q9uzI4onZE7zVhQnw7,pg.lost,Shelter,8.0
3wtMkvedoWMQ3XTKv7tqcZ,Roxy Music,Love Is The Drug,1.0
7vCAPGfk46iIyikreugUay,Arlo Guthrie,Coming into Los Angeles - Remastered,10.0
01Q3OyB05mLgH01fpdAMPP,M83,Wait,6.0
4hfO5Y0VTgzGyyv8EpsNYj,Muse,Muscle Museum - Live Acoustic Version KCRW 8/3/99,10.0
5RV340G9fvADcb7DGOK4ca,"Christone ""Kingfish"" Ingram",If You Love Me,2.0
05gHCcq775XVNxryDxaiqs,guardin,all i can see,5.0
4IQjCesN2jGNEGY0TViB9E,Westlife,All or Nothing,9.0
2bhMvw4ZILdxeEVt9bXHAq,The Jealous Sound,Hope For Us,10.0
,"Marshmello, Jonas Brothers",Leave Before You Love Me (with Jonas Brothers),9.0
0DvhfhHlIE4HqgBX8yDJz3,Young Rising Sons,Carry On - Acoustic,9.0
0FhFZbyZbkUh5uyAKesmDL,SHY Martin,Feelings,9.0
08nQNQ3joVf8kyjuZ9rEVv,Infinity Ripple,Supposing,7.0
5Awic3Q2wuEp6LrwPdTVis,Young T & Bugsey,New Shape,5.0
4L2F0LcDVtNrFc1K4lmx3m,Everything Everything,Distant Past,10.0
3NMFWhIDAdDGX3xmXOxHyo,Polo & Pan,Feel Good,6.0
5zuFpDlFHNyy1uP3KunE3N,ghosthands,intuition,9.0
0gmbgwZ8iqyMPmXefof8Yf,Nickelback,How You Remind Me,9.0
3YcLeK9h7O9Uhq03mPLiBw,Hatena,Begin2touch,6.0
,LE√ëA,GRVD,10.0
1rqqCSm0Qe4I9rUvWncaom,Panic! At The Disco,High Hopes,10.0
7JlUiuCXUDK5blSa8Gb9Ob,RedHook,Cure 4 Psycho,8.0
1Ma1JqyeNg7RVdeTlYP5AN,The Knocks,Bittersweet Symphony,6.0
,"Antonio Vivaldi, Andrew Watkinson, City of London Sinfonia, Nicholas Kraemer","Violin Concerto in B-Flat Major, Op. 4, No. 1, RV 383a: II. Largo",7.0
0HzbDl381rdXtSOaJk20eH,16Volt,Suffering You,8.0
0nKiPnnqn6bfn8sPOZJGs8,Noname,Self,5.0
,Omer Adam,◊ó◊ë◊®◊ï◊™ ◊©◊ú◊ö,9.0
1ILnhyARReabVz7U2oDQMm,3 Doors Down,In The Dark,10.0
6D4NvZPy1uPdjoPhh1CQMz,Gnoomes,Sword In the Stone,6.0
,Eden Ben Zaken,◊î◊ô◊ô◊™◊ô ◊ó◊ï◊ñ◊®◊™,9.0
,Omer Adam,◊™◊¢◊©◊ô ◊ú◊ô ◊ê◊™ ◊ñ◊î ◊ß◊©◊î,9.0
,Izhar Ashdot,◊û◊ô◊ì◊¢ ◊§◊†◊ô◊û◊ô,10.0
138BAgSQ6HzGoSaWQsN2Zc,Swaine Delgado,F Me Up,6.0
,Axum,◊û◊î ◊¢◊ù ◊î◊õ◊°◊£ ?,5.0
,Eliad,◊î◊©◊ß◊ò ◊©◊ú◊ö,9.0
1FTSo4v6BOZH9QxKc3MbVM,Blur,Song 2 - 2012 Remaster,6.0
2aik35X8n3RseI76lEOJ5p,Hype Lights,Something Wrong,10.0
,Rod Stewart,(I Know) I'm Losing You,2.0
3kzJ8Cd4AVcBMftEO3HHBb,Teramaze,Stone,8.0
,Ravid Plotnik,◊ê◊ú◊¢◊ì,5.0
5wBx2WLtOOeWl56AVWABM3,"Johnny ""Big Moose"" Walker","Worry, Worry",2.0
3cfOd4CMv2snFaKAnMdnvK,Smash Mouth,All Star,9.0
5cqouubdw6fxkzvFFyqMUG,Cream,Strange Brew,2.0
